,0,1
Trump 1, Although I think that was a weak move by Rick Perry endorsing Trump today i feel I have to give him a pass because at least he's a veteran,2016-05-07 07:57:52
Trump 2," @ MSNBC @ CNNPolitics - .or makes up rules that ""women"" have to follow, while taking away healthcare of course! Voters can stop Trump nonsense",2016-05-07 07:54:13
Trump 3, My mom said this taco bowl is second best only to the ones served at Trump Tower! # tacobowl… https://www.instagram.com/p/BFFbeL4p5PP/,2016-05-07 07:49:29
Trump 4," @ MSNBC @ CNNPolitics Hispanic and minority communities need to get together and send Trump and the GOP a message once and for ALL! ""NO""!!!!!!",2016-05-07 07:49:03
Trump 5, @ therealb0wser supposedly trump is going to lynden tomorrow. You could watch the clusterfuck,2016-05-07 07:48:46
Trump 6," Trump sucks @Nashua, New Hampshire https://www.instagram.com/p/BFFbRvRvira/",2016-05-07 07:47:47
Trump 7, Trump picks tiny Lynden after getting rebuffed in Seattle http://buff.ly/1Tt8loc,2016-05-07 07:46:10
Trump 8," # Trump in 2016 Temp:Crab Orchard, Ky."":64.6°F Wind:0.9mph Pressure: 29.91hpa Steady Rain Today 0.00in. Forecast: Fine, possible showers",2016-05-07 07:45:01
Trump 9," @ realDonaldTrump You are a flunky, the way you talk about powerful women indicates you have no PENIS!!!! DONNIE! @ cherokeesher2 @ rinkydnk2",2016-05-07 07:42:12
Trump 10," @ glennbeck # ruderemark. I'm not a # racisit. I like @ realDonaldTrump . We all r GODs children. Stop your race baiting, look in the mirror",2016-05-07 07:41:57
Trump 11, Is Paul Ryan thinking about religious freedom the second amendment? He is why Trump is in play # greta,2016-05-07 07:40:48
Trump 12, Electoral College not favorable to Trump http://bubly.us/HJGr,2016-05-07 07:32:54
Trump 13," # Trump in 2016 Temp:Crab Orchard, Ky."":65.5°F Wind:2.0mph Pressure: 29.91hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-05-07 07:30:02
Trump 14, @ CNN asking for money oh really what happened to self funding Trump,2016-05-07 07:28:20
Trump 15," @ DavidMuir When I saw Trump's taco bowl tweet I was like, ""Really Donald, really!?"" That was so offensive.",2016-05-07 07:28:00
Trump 16, @ DavidMuir What is wrong with Trump? I told you David he's a moron.,2016-05-07 07:25:58
Trump 17, @ realDonaldTrump she was cashing in on some free things just like all the other crooks.,2016-05-07 07:21:17
Trump 18, Hillory Clinton hid those emails and @ realDonaldTrump will find out what they are! She is a Grade A cockgobbler. # TRUMP,2016-05-07 07:21:03
Trump 19, @ moxyladies 'slippery people' from same band comes to mind # Trump,2016-05-07 07:17:25
Trump 20," @ meetthepress @ NBCNews @ realDonaldTrump um, not all true!! MI has more sleeper Reps and independents that are waking up this year. # Trump",2016-05-07 07:16:12
Trump 21," # Trump in 2016 Temp:Crab Orchard, Ky."":66.2°F Wind:1.6mph Pressure: 29.91hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-05-07 07:15:01
Trump 22," @ JamesPMorrison um, hasn't Trump condemned the Iraq War, which Cheney initiated?",2016-05-07 07:13:40
Trump 23, Cheney just join Donald trump. If he wins the election he will go to war if he wins and has this… https://www.instagram.com/p/BFFXENKGHXL/,2016-05-07 07:11:01
Trump 24, Trump got some radical followers,2016-05-07 07:06:29
Trump 25, Donald Trump’s Idea to Cut National Debt: Get Creditors to Accept Less http://nyti.ms/1Trr97k,2016-05-07 07:04:55
Trump 26," # Trump in 2016 Temp:Crab Orchard, Ky."":66.4°F Wind:0.0mph Pressure: 29.91hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-05-07 07:00:01
Trump 27, @ PaulHammelOWH @ GovRicketts @ realDonaldTrump @ GOP what.,2016-05-07 06:59:01
Trump 28, Trump – TyC Sports https://youtu.be/sTEnBC-2ZL4 via @ YouTube,2016-05-07 06:55:23
Trump 29," Trump atty Asking judge to defer trial date for Trump University until after U.S. presidential election, says it… http://toplocalnow.com/united-states/california/san-diego …",2016-05-07 06:53:44
Trump 30, @ realDonaldTrump @ SenWarren IGNORE this @ HillaryClinton hit lady. Rest assured Warren has been made promise. Do not lose focus on real witch,2016-05-07 06:49:42
Trump 31," # Trump in 2016 Temp:Crab Orchard, Ky."":67.1°F Wind:1.6mph Pressure: 29.91hpa Falling slowly Rain Today 0.00in. Forecast: Unsettled, precip",2016-05-07 06:45:01
Trump 32, Donald Trump to testify in Trump University fraud lawsuit -- after the election http://lat.ms/271eoKO,2016-05-07 06:41:09
Trump 33," ""Donald Trump, you are not welcome in Washington state.""State leaders talk LIVE >> http://kiro.tv/TrumpCampaign",2016-05-07 06:37:14
Trump 34, WATCH: Gov. Jay Inslee denounces Donald Trump visit http://kng5.tv/24AHhvg,2016-05-07 06:37:12
Trump 35, @ TheLastWord @ realDonaldTrump How about Bernie Sanders for Trump's VP. The Bern is already helping Trump,2016-05-07 06:34:02
Trump 36," @ CNNSitRoom @ JebBush @ realDonaldTrump @ HillaryClinton his brother Robed America of its dignity, & Trump is trying to rob it of its diversity",2016-05-07 06:32:24
Trump 37," # Trump in 2016 Temp:Crab Orchard, Ky."":66.6°F Wind:2.2mph Pressure: 29.91hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-05-07 06:30:01
Trump 38," @ NY199827 @ kyramarat1 LINDSEY Graham has already killed 3 nominees chances this cycle, so let's hope he never supports Trump.",2016-05-07 06:27:32
Trump 39, Gotta look at the # SilverLining! # trump # government # president # republican # democrat # usa… https://www.instagram.com/p/BFFRowvN4Xx/,2016-05-07 06:23:33
Trump 40, Poll: 57% of Americans Feel Trump Supporters Have 'Very Aggressive' Online Behavior http://feedproxy.google.com/~r/allfacebook/~3/fW0tJnxax_8/639119 …,2016-05-07 06:20:05
Trump 41," @ DianeHauschildt Anyone else confused that Trump is Conservative enough for Falwell and Graham, but not George Will (not)?",2016-05-07 06:16:11
Trump 42," # Trump in 2016 Temp:Crab Orchard, Ky."":66.7°F Wind:2.7mph Pressure: 29.91hpa Steady Rain Today 0.00in. Forecast: Fine weather",2016-05-07 06:15:02
Trump 43, from @ lazendamario - Saludos al primo # trump de parte de un # paisa que le chinga bien… https://www.instagram.com/p/BFFQC0fNicu/,2016-05-07 06:09:38
Trump 44, @ az_valentine @ stophillary Wake up is right. Didn't England spend days talking about how they would stop @ realDonaldTrump from going there,2016-05-07 06:08:59
Trump 45," Run by actual Mexican people. Trump would never approve. (@El Forastero in Feeding Hills, MA) https://www.swarmapp.com/c/eaZXbKyiD4K",2016-05-07 06:08:20
Trump 46, Trump will testify after election in # TrumpUniversity suit http://wral.com/15686703,2016-05-07 06:07:05
Trump 47, @ realDonaldTrump @ gop establishment stop using Trump as excuse for making party racist. @ MittRomney did that 47%. Trump Wil undo damage,2016-05-07 06:07:00
Trump 48, @ realDonaldTrump @ MittRomney &establishment blame Trump for making party racist. They forget they branded gop especially w/ 47% comment,2016-05-07 06:04:38
Trump 49, # icant @ realdonaldtrump # loser # OTEP @Worcester Palladium https://www.instagram.com/p/BFFPaWWtBp5/,2016-05-07 06:04:06
